iter	Logloss
0	0.6909800309
1	0.6885496858
2	0.686736872
3	0.6839798096
4	0.6820502049
5	0.6799674598
6	0.677525607
7	0.6764046063
8	0.6751785102
9	0.6740576717
10	0.6723619925
11	0.6707206634
12	0.6692865378
13	0.6678512881
14	0.6664755506
15	0.6654048004
16	0.66387948
17	0.6617403737
18	0.660637047
19	0.6589425973
20	0.6569296664
21	0.655751827
22	0.6541893976
23	0.6529965185
24	0.6519400035
25	0.6509768454
26	0.6494638361
27	0.6479431976
28	0.6464781495
29	0.6455185077
30	0.6441232595
31	0.6430192046
32	0.6416640725
33	0.6406686482
34	0.6398260276
35	0.6384863868
36	0.6373458416
37	0.6359496504
38	0.6345155619
39	0.6330636568
40	0.6322818974
41	0.6315318294
42	0.6307068008
43	0.6296666775
44	0.6288421955
45	0.6276007165
46	0.6266104606
47	0.6257408614
48	0.6247384703
49	0.6239696229
50	0.6225509184
51	0.6215112364
52	0.6204344538
53	0.6196719155
54	0.6186652532
55	0.6171240311
56	0.6160589282
57	0.6149310062
58	0.6141774296
59	0.6130272325
60	0.6116604047
61	0.6108832436
62	0.6100798899
63	0.6093729158
64	0.6088680063
65	0.6075744566
66	0.6065307858
67	0.6050962948
68	0.6042041723
69	0.6032992297
70	0.6016190734
71	0.6007653844
72	0.5998151858
73	0.5990384793
74	0.5984842383
75	0.5975010699
76	0.5964762938
77	0.5953953605
78	0.5945524671
79	0.5935176133
80	0.5926150886
81	0.5919748064
82	0.591245078
83	0.5899770291
84	0.5889947212
85	0.5879446338
86	0.5870294117
87	0.586233302
88	0.5851334133
89	0.5843360679
90	0.5833982135
91	0.5827902535
92	0.5810053326
93	0.580310621
94	0.5794010728
95	0.5785976105
96	0.5775362607
97	0.5768215008
98	0.5754841696
99	0.5748275609
100	0.5733580914
101	0.5721624461
102	0.5712938611
103	0.5706488063
104	0.5700101761
105	0.5690365121
106	0.5679752361
107	0.5671749408
108	0.5664691378
109	0.565443615
110	0.5645045517
111	0.5640791149
112	0.563347212
113	0.5624060586
114	0.5614197142
115	0.5605284573
116	0.5598843034
117	0.5585061723
118	0.5575248551
119	0.5570782801
120	0.5563311233
121	0.5551839199
122	0.5546250932
123	0.5539936803
124	0.552874116
125	0.5521347286
126	0.5511470827
127	0.5501574883
128	0.5493860928
129	0.5486236049
130	0.5471358666
131	0.5460336333
132	0.5454868558
133	0.5445401968
134	0.5436148155
135	0.5429438949
136	0.5421570874
137	0.5413167296
138	0.540587331
139	0.5400178058
140	0.5391147592
141	0.5384312384
142	0.5380485956
143	0.5373902498
144	0.5365323755
145	0.5358559814
146	0.5348623836
147	0.534062203
148	0.5334634508
149	0.5326885033
150	0.5319656112
151	0.5314500059
152	0.5307834525
153	0.5296494037
154	0.5290469678
155	0.5281828871
156	0.5269264579
157	0.5258681538
158	0.5247317499
159	0.5238929956
160	0.5234290841
161	0.5219269523
162	0.5212852167
163	0.5204397745
164	0.5194077558
165	0.5182370845
166	0.5174164457
167	0.5167156683
168	0.5158498933
169	0.5146877296
170	0.5138775516
171	0.5127143842
172	0.5116709554
173	0.5103868167
174	0.5095446191
175	0.5089298671
176	0.5077412923
177	0.506581201
178	0.5049871484
179	0.5037483044
180	0.5027495631
181	0.5018395542
182	0.5013735059
183	0.5005750227
184	0.4996366701
185	0.4988825228
186	0.4981219084
187	0.4975571843
188	0.4970193565
189	0.4959501489
190	0.494599354
191	0.4938535288
192	0.4934845344
193	0.4922503663
194	0.4914206447
195	0.4901868477
196	0.4897583607
197	0.4890883746
198	0.4881869154
199	0.4870811037
